secid,sdate,edate,PERMNO,score,crsp,symbol
206043,20150102,20190628,85035,1,crsp_85035,QRVO
206124,20150123,20190628,15145,1,crsp_15145,BOX
206321,20150212,20190628,15220,1,crsp_15220,INOV
206814,20150326,20190628,15272,1,crsp_15272,SEDG
206934,20150401,20190628,15315,1,crsp_15315,GDDY
207294,20150521,20190628,15358,1,crsp_15358,SHOP
207433,20150618,20190628,15390,1,crsp_15390,FIT
207518,20150626,20190628,15409,1,crsp_15409,ALRM
207519,20150626,20190628,15410,1,crsp_15410,APPF
207653,20150717,20190628,15582,1,crsp_15582,OOMA
207654,20150717,20190628,15541,1,crsp_15541,RPD
207748,20150804,20190628,79879,1,crsp_79879,VIAV
208031,20150928,20190628,15647,1,crsp_15647,FLOW
208243,20151007,20190628,15729,1,crsp_15729,PSTG
208313,20151102,20190628,15707,1,crsp_15707,HPE
208389,20151104,20190628,15710,1,crsp_15710,EXTN
208499,20151119,20190628,15849,1,crsp_15849,MIME
208503,20151119,20190628,15826,1,crsp_15826,SQ
208617,20151210,20190628,15909,1,crsp_15909,TEAM
208897,20160304,20190628,15921,1,crsp_15921,WBT
209326,20160422,20190628,16020,1,crsp_16020,SCWX
209477,20160513,20190628,16051,1,crsp_16051,ACIA
209572,20160602,20190628,16100,1,crsp_16100,NH
209672,20160623,20190628,16140,1,crsp_16140,TWLO
209788,20160713,20190628,16143,1,crsp_16143,TRTN
209942,20160812,20190628,16247,1,crsp_16247,AIRG
210057,20160916,20190628,16287,1,crsp_16287,EVBG
210217,20160921,20190628,16309,1,crsp_16309,TTD
210280,20160930,20190628,16304,1,crsp_16304,NTNX
210307,20161006,20190628,16382,1,crsp_16382,COUP
210402,20161028,20190628,16381,1,crsp_16381,BL
210626,20161209,20190628,16525,1,crsp_16525,ICHR
210918,20170302,20190628,16595,1,crsp_16595,SNAP
211144,20170324,20190628,16597,1,crsp_16597,AYX
211205,20170407,20190628,16649,1,crsp_16649,OKTA
211225,20170413,20190628,16650,1,crsp_16650,YEXT
211247,20170428,20190628,16657,1,crsp_16657,CLDR
211315,20170512,20190628,16692,1,crsp_16692,IR
211317,20170512,20190628,16712,1,crsp_16712,VERI
211327,20170601,20190628,16696,1,crsp_16696,CARS
211356,20170524,20190628,16710,1,crsp_16710,SGH
211358,20170525,20190628,16698,1,crsp_16698,APPN
211973,20171002,20190628,16917,1,crsp_16917,BKI
212060,20171005,20190101,16939,1,crsp_16939,MAXR
212064,20171006,20190628,16966,1,crsp_16966,SWCH
212076,20171012,20190628,16967,1,crsp_16967,CARG
212141,20171019,20190628,16968,1,crsp_16968,MDB
212207,20171027,20190628,16984,1,crsp_16984,FSCT
212217,20171101,20190628,17034,1,crsp_17034,ALTR
212230,20171102,20190628,17035,1,crsp_17035,AQUA
212330,20171110,20190628,17106,1,crsp_17106,BAND
212402,20171117,20190628,17037,1,crsp_17037,SAIL
212512,20171215,20190628,17135,1,crsp_17135,CASA
212668,20180124,20190628,17254,1,crsp_17254,PAGS
212669,20180125,20190628,17227,1,crsp_17227,GTES
